Login,Inloggen
Enter your email below to login to your account,Vul je e-mailadres in om in te loggen
Email,E-mail
Password,Wachtwoord
Forgot your password?,Wachtwoord vergeten?
Don't have an account?,Heb je nog geen account?
Sign up,Registreren
Login failed,Inloggen mislukt
An unexpected error occurred,Er is een onverwachte fout opgetreden
Logout,Uitloggen
Logged out successfully,Succesvol uitgelogd
Failed to log out,Uitloggen mislukt
Save,Opslaan
Cancel,Annuleren
Delete,Verwijderen
Close,Sluiten
API Keys,API-sleutels
Team,Team
Change password,Wachtwoord wijzigen
Password reset email sent,E-mail voor wachtwoordherstel verzonden
Check your email for instructions to reset your password,Controleer je e-mail voor instructies om je wachtwoord te resetten
Failed to send reset link,Verzenden van resetlink mislukt
Unable to change password,Kan wachtwoord niet wijzigen
User email not available,E-mailadres niet beschikbaar
Create account,Account aanmaken
Enter your details below to create an account,Vul je gegevens in om een account aan te maken
Confirm your email address,Bevestig je e-mailadres
Reset your password,Herstel je wachtwoord
New password,Nieuw wachtwoord
Reset password,Wachtwoord herstellen
Enter your email to receive a password reset link,Vul je e-mailadres in om een link te ontvangen voor het herstellen van je wachtwoord
Send reset link,Resetlink verzenden
Confirm your email,Bevestig je e-mail
Hello {0}\,,Hallo {0}\,
Thank you for signing up for Recommand. Please confirm your email address to get started.,Bedankt voor je registratie bij Recommand. Bevestig je e-mailadres om te beginnen.
Confirm email address,E-mailadres bevestigen
If you didn't create an account\, you can safely ignore this email.,Als je geen account hebt aangemaakt\, kun je deze e-mail negeren.
Reset your Recommand password,Herstel je Recommand wachtwoord
We received a request to reset your password for your Recommand account.,We hebben een verzoek ontvangen om je wachtwoord voor je Recommand account te herstellen.
This link will expire in 1 hour for security reasons.,Deze link verloopt na 1 uur om veiligheidsredenen.
If you didn't request this\, you can safely ignore this email.,Als je dit niet hebt aangevraagd\, kun je deze e-mail negeren.
You've been invited to join {0} on Recommand,Je bent uitgenodigd om lid te worden van {0} op Recommand
You're invited,Je bent uitgenodigd
You've been invited to join {0} on Recommand. We've created an account for you.,Je bent uitgenodigd om lid te worden van {0} op Recommand. We hebben een account voor je aangemaakt.
Set your password,Stel je wachtwoord in
This invitation will expire in 7 days.,Deze uitnodiging verloopt na 7 dagen.
After that\, ask your team administrator to resend the invitation.,Vraag daarna je teambeheerder om de uitnodiging opnieuw te verzenden.
User not found,Gebruiker niet gevonden
Unauthorized,Niet geautoriseerd
Internal server error,Interne serverfout
Team deleted successfully,Team succesvol verwijderd
Incorrect password,Onjuist wachtwoord
Please confirm your email address before logging in,Bevestig je e-mailadres voordat je inlogt
Account created successfully. Please check your email to confirm your account.,Account succesvol aangemaakt. Controleer je e-mail om je account te bevestigen.
User already exists,Gebruiker bestaat al
Invalid or expired confirmation token,Ongeldige of verlopen bevestigingstoken
Email already verified,E-mail is al geverifieerd
Email confirmed successfully. You are now logged in.,E-mail succesvol bevestigd. Je bent nu ingelogd.
If an account with that email exists and is not verified\, a confirmation email has been sent.,Als er een account met dat e-mailadres bestaat en niet is geverifieerd\, is er een bevestigingsmail verzonden.
Email is already verified,E-mail is al geverifieerd
Invalid or expired reset token,Ongeldige of verlopen resettoken
User ID is required,Gebruikers-ID is vereist
Permission not found,Machtiging niet gevonden
User is already a member of this team,Gebruiker is al lid van dit team
Invitation sent successfully,Uitnodiging succesvol verzonden
User added to team,Gebruiker toegevoegd aan team
Account created successfully!,Account succesvol aangemaakt!
Please check your email to confirm your account.,Controleer je e-mail om je account te bevestigen.
Signup failed,Registratie mislukt
Confirmation email sent!,Bevestigingsmail verzonden!
Failed to resend confirmation,Opnieuw verzenden van bevestiging mislukt
Check your email,Controleer je e-mail
We've sent a confirmation link to,We hebben een bevestigingslink gestuurd naar
Please check your email and click the confirmation link to activate your account.,Controleer je e-mail en klik op de bevestigingslink om je account te activeren.
Sending...,Verzenden...
Resend confirmation email,Bevestigingsmail opnieuw verzenden
Already have an account?,Heb je al een account?
Enter your email below to create your account,Vul je e-mailadres in om je account aan te maken
Reset link sent,Resetlink verzonden
